Category,Component,Description,Approximate Cost (USD),Purchase
microcontroller,ESP32-CAM dev board x2,"dual-core 32-bit LX6 CPU, 2MP OV2640 cam module, microSD slot, wifi, bluetooth",$14.00,Purchased
sensor,SHT31-DIS-B Sensor,"High-precision humidity and temperature sensor, I2C interface",$12.88,Purchased
sensor,Ublox NEO-M6 GPS Module,"GPS module with 1-2 meter accuracy, EEPROM supports multiple satellite systems",$9.00,Purchased
Encloser,ABS Plastic IP65 Enclosure,"Waterproof, dustproof project enclosure (5.9 x 3.9 x 2.8 inch)",$13.99,Purchased
serial interface,HiLetgo Serial adapter,FT232RL  Mini USB to TTL Serial Converter Adapter Module,$6.49,Purchased
memory,SD card,SanDisk 32GB 2-Pack Ultra MicroSDHC UHS-I Memory Card (2x32GB) ,$13.56,Purchased
PCB,PCB,"Prototype PCB Solderable Breadboard(5 Pack + 1 Mini Board, Red)",$8.49,Purchased
power,voltage regulator,AMS1117-3.3V Buck Module LDO 800MA,$0.60,Purchased
power,voltage regulator,5v Regulator Module Mini Voltage Reducer DC 4.5-24V 12V 24V to 5V 3A,$1.10,Purchased
power,battery,7.4V Lipo Battery 600mAh 2S 30C Rechargeable Lithium Polymer Batteries,$17.00,Purchased
,,,,
,,,,
,,,,
,,,,
Total: ,,,$83.11,
